@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
13702,'2023/06/13 11:32:46:660',59,372.228729,449.083466,372.228729,449.083466,0,1,0,0,0
13703,'2023/06/13 11:32:46:681',59,135.804993,398.576294,135.804993,398.576294,0,1,0,0,0
13704,'2023/06/13 11:32:46:707',59,256.37677,400.201538,256.37677,400.201538,0,1,0,0,0
13705,'2023/06/13 11:32:47:493',60,0,0,0,0,0,1,0,0,0
13706,'2023/06/13 11:32:47:520',60,0,0,0,0,0,1,0,0,0
13707,'2023/06/13 11:32:47:541',60,0,0,0,0,0,1,0,0,0
13708,'2023/06/13 11:32:47:569',60,390.849213,471.076019,390.849213,471.076019,0,1,0,0,0
13709,'2023/06/13 11:32:47:589',60,403.101105,1933.957153,403.101105,1933.957153,0,1,0,0,0
13710,'2023/06/13 11:32:47:611',60,369.056458,470.793335,369.056458,470.793335,0,1,0,0,0
13711,'2023/06/13 11:32:48:797',61,0,0,0,0,0,1,0,0,0
13712,'2023/06/13 11:32:48:816',61,0,0,0,0,0,1,0,0,0
13713,'2023/06/13 11:32:48:842',61,0,0,0,0,0,1,0,0,0
13714,'2023/06/13 11:32:48:867',61,322.366425,466.120117,322.366425,466.120117,0,1,0,0,0
13715,'2023/06/13 11:32:48:889',61,346.505585,522.140808,346.505585,522.140808,0,1,0,0,0
13716,'2023/06/13 11:32:48:908',61,0,0,0,0,0,1,0,0,0
13717,'2023/06/13 11:32:48:935',61,393.384338,1271.906006,393.384338,1271.906006,0,1,0,0,0
13718,'2023/06/13 11:32:48:955',61,0,0,0,0,0,1,0,0,0
13719,'2023/06/13 11:32:52:971',62,0,0,0,0,0,0,1,0,0
13720,'2023/06/13 11:32:52:996',62,0,0,0,0,0,0,1,0,0
13721,'2023/06/13 11:32:53:022',62,0,0,0,0,0,0,1,0,0
13722,'2023/06/13 11:32:53:043',62,259.929199,467.576691,259.929199,467.576691,0,0,1,0,0
13723,'2023/06/13 11:32:53:069',62,234.379395,416.0979,234.379395,416.0979,0,0,1,0,0
13724,'2023/06/13 11:32:53:090',62,223.889084,381.747253,223.889084,381.747253,0,0,1,0,0
13725,'2023/06/13 11:32:53:906',63,250.540619,422.549805,250.540619,422.549805,0,0,1,0,0
13726,'2023/06/13 11:32:53:925',63,0,0,0,0,0,0,1,0,0
13727,'2023/06/13 11:32:53:952',63,221.782761,427.25827,221.782761,427.25827,0,0,1,0,0
13728,'2023/06/13 11:32:53:976',63,214.200226,421.900238,214.200226,421.900238,0,0,1,0,0
13729,'2023/06/13 11:32:53:995',63,195.008347,442.775635,195.008347,442.775635,0,0,1,0,0
13730,'2023/06/13 11:32:54:021',63,231.616989,382.477631,231.616989,382.477631,0,0,1,0,0
13731,'2023/06/13 11:32:54:043',63,259.655579,399.924774,259.655579,399.924774,0,0,1,0,0
13732,'2023/06/13 11:32:54:066',63,272.947266,411.299866,272.947266,411.299866,0,0,1,0,0
13733,'2023/06/13 11:32:54:762',64,0,0,0,0,0,0,1,0,0
13734,'2023/06/13 11:32:54:788',64,0,0,0,0,0,0,1,0,0
13735,'2023/06/13 11:32:54:806',64,0,0,0,0,0,0,1,0,0
13736,'2023/06/13 11:32:54:831',64,0,0,0,0,0,0,1,0,0
13737,'2023/06/13 11:32:54:855',64,0,0,0,0,0,0,1,0,0
13738,'2023/06/13 11:32:54:883',64,211.532028,456.853088,211.532028,456.853088,0,0,1,0,0
13739,'2023/06/13 11:32:54:906',64,210.551743,470.809296,210.551743,470.809296,0,0,1,0,0
13740,'2023/06/13 11:32:55:621',65,0,0,0,0,0,0,1,0,0
13741,'2023/06/13 11:32:55:644',65,525.968201,1382.026733,525.968201,1382.026733,0,0,1,0,0
13742,'2023/06/13 11:32:55:669',65,0,0,0,0,0,0,1,0,0
13743,'2023/06/13 11:32:55:688',65,389.281464,941.551208,389.281464,941.551208,0,0,1,0,0
13744,'2023/06/13 11:32:55:714',65,0,0,0,0,0,0,1,0,0
13745,'2023/06/13 11:32:55:737',65,187.625336,985.01593,187.625336,985.01593,0,0,1,0,0
13746,'2023/06/13 11:32:55:760',65,0,0,0,0,0,0,1,0,0
13747,'2023/06/13 11:32:56:596',66,0,0,0,0,0,0,1,0,0
13748,'2023/06/13 11:32:56:621',66,0,0,0,0,0,0,1,0,0
13749,'2023/06/13 11:32:56:639',66,0,0,0,0,0,0,1,0,0
13750,'2023/06/13 11:32:56:666',66,0,0,0,0,0,0,1,0,0
13751,'2023/06/13 11:32:56:696',66,252.099869,428.303558,252.099869,428.303558,0,0,1,0,0
13752,'2023/06/13 11:32:56:716',66,227.343506,532.154907,227.343506,532.154907,0,0,1,0,0
13753,'2023/06/13 11:32:56:734',66,0,0,0,0,0,0,1,0,0
13754,'2023/06/13 11:32:57:620',67,0,0,0,0,0,0,1,0,0
13755,'2023/06/13 11:32:57:638',67,0,0,0,0,0,0,1,0,0
13756,'2023/06/13 11:32:57:667',67,0,0,0,0,0,0,1,0,0
13757,'2023/06/13 11:32:57:688',67,0,0,0,0,0,0,1,0,0
13758,'2023/06/13 11:32:57:712',67,197.814362,443.961121,197.814362,443.961121,0,0,1,0,0
13759,'2023/06/13 11:32:57:736',67,193.116226,439.255432,193.116226,439.255432,0,0,1,0,0
13760,'2023/06/13 11:32:57:756',67,217.401581,389.297455,217.401581,389.297455,0,0,1,0,0
13761,'2023/06/13 11:32:57:780',67,0,0,0,0,0,0,1,0,0
13762,'2023/06/13 11:32:57:807',67,248.318024,383.582672,248.318024,383.582672,0,0,1,0,0
13763,'2023/06/13 11:32:57:827',67,0,0,0,0,0,0,1,0,0
13764,'2023/06/13 11:32:57:853',67,254.275848,445.480194,254.275848,445.480194,0,0,1,0,0
13765,'2023/06/13 11:32:57:873',67,268.827271,280.500214,268.827271,280.500214,0,0,1,0,0
13766,'2023/06/13 11:32:57:897',67,281.873352,480.663055,281.873352,480.663055,0,0,1,0,0
13767,'2023/06/13 11:32:57:923',67,292.26062,300.449219,292.26062,300.449219,0,0,1,0,0
13768,'2023/06/13 11:32:57:944',67,249.991562,1028.20166,249.991562,1028.20166,0,0,1,0,0
13769,'2023/06/13 11:32:57:964',67,264.549713,1113.99292,264.549713,1113.99292,0,0,1,0,0
13770,'2023/06/13 11:32:58:000',67,402.376984,992.961548,402.376984,992.961548,0,0,1,0,0
13771,'2023/06/13 11:32:58:014',67,329.620148,863.38092,329.620148,863.38092,0,0,1,0,0
13772,'2023/06/13 11:32:58:037',67,0,0,0,0,0,0,1,0,0
13773,'2023/06/13 11:32:58:055',67,0,0,0,0,0,0,1,0,0
13774,'2023/06/13 11:32:58:079',67,0,0,0,0,0,0,1,0,0
13775,'2023/06/13 11:32:58:106',67,370.683136,940.60498,370.683136,940.60498,0,0,1,0,0
13776,'2023/06/13 11:32:58:130',67,0,0,0,0,0,0,1,0,0
13777,'2023/06/13 11:32:58:148',67,0,0,0,0,0,0,1,0,0
13778,'2023/06/13 11:32:58:172',67,0,0,0,0,0,0,1,0,0
13779,'2023/06/13 11:32:58:195',67,0,0,0,0,0,0,1,0,0
13780,'2023/06/13 11:32:58:221',67,0,0,0,0,0,0,1,0,0
13781,'2023/06/13 11:32:58:247',67,377.157623,741.01123,377.157623,741.01123,0,0,1,0,0
13782,'2023/06/13 11:32:58:271',67,381.521667,1148.703247,381.521667,1148.703247,0,0,1,0,0
13783,'2023/06/13 11:32:58:292',67,373.757568,1173.546997,373.757568,1173.546997,0,0,1,0,0
13784,'2023/06/13 11:32:58:320',67,358.652008,1283.810181,358.652008,1283.810181,0,0,1,0,0
13785,'2023/06/13 11:32:58:340',67,356.31488,420.437836,356.31488,420.437836,0,0,1,0,0
13786,'2023/06/13 11:32:58:361',67,367.334717,1101.363281,367.334717,1101.363281,0,0,1,0,0
13799,'2023/06/13 11:33:02:795',68,0,0,0,0,0,0,0,1,0
13800,'2023/06/13 11:33:02:821',68,461.740326,723.524231,461.740326,723.524231,0,0,0,1,0
13801,'2023/06/13 11:33:04:564',69,466.891602,716.473022,466.891602,716.473022,0,0,0,1,0
13802,'2023/06/13 11:33:04:581',69,414.703644,588.188477,414.703644,588.188477,0,0,0,1,0
13803,'2023/06/13 11:33:04:604',69,0,0,0,0,0,0,0,1,0
13804,'2023/06/13 11:33:04:630',69,0,0,0,0,0,0,0,1,0
13805,'2023/06/13 11:33:04:656',69,576.000366,629.6745,576.000366,629.6745,0,0,0,1,0
13806,'2023/06/13 11:33:04:678',69,375.730774,511.948883,375.730774,511.948883,0,0,0,1,0
13807,'2023/06/13 11:33:04:698',69,380.009155,828.091003,380.009155,828.091003,0,0,0,1,0
13808,'2023/06/13 11:33:04:724',69,0,0,0,0,0,0,0,1,0
13809,'2023/06/13 11:33:04:749',69,0,0,0,0,0,0,0,1,0
13810,'2023/06/13 11:33:04:769',69,0,0,0,0,0,0,0,1,0
13811,'2023/06/13 11:33:04:796',69,573.144714,1190.500977,573.144714,1190.500977,0,0,0,1,0
13812,'2023/06/13 11:33:04:816',69,564.741699,850.591003,564.741699,850.591003,0,0,0,1,0
13813,'2023/06/13 11:33:04:843',69,389.191986,1006.595642,389.191986,1006.595642,0,0,0,1,0
13814,'2023/06/13 11:33:04:862',69,174.155701,653.924194,174.155701,653.924194,0,0,0,1,0
13821,'2023/06/13 11:33:05:932',70,397.07608,675.526245,397.07608,675.526245,0,0,0,1,0
13822,'2023/06/13 11:33:05:954',70,332.603241,592.435486,332.603241,592.435486,0,0,0,1,0
13823,'2023/06/13 11:33:05:980',70,0,0,0,0,0,0,0,1,0
13824,'2023/06/13 11:33:05:999',70,0,0,0,0,0,0,0,1,0
13825,'2023/06/13 11:33:06:023',70,0,0,0,0,0,0,0,1,0
13826,'2023/06/13 11:33:06:048',70,537.349243,540.44635,537.349243,540.44635,0,0,0,1,0
13827,'2023/06/13 11:33:06:072',70,488.23111,586.757629,488.23111,586.757629,0,0,0,1,0
13828,'2023/06/13 11:33:06:090',70,0,0,0,0,0,0,0,1,0
13829,'2023/06/13 11:33:06:116',70,546.537476,658.543152,546.537476,658.543152,0,0,0,1,0
13830,'2023/06/13 11:33:06:144',70,535.325134,889.263184,535.325134,889.263184,0,0,0,1,0
13831,'2023/06/13 11:33:06:164',70,576.413879,949.96283,576.413879,949.96283,0,0,0,1,0
13839,'2023/06/13 11:33:09:718',71,196.719833,672.520691,196.719833,672.520691,0,0,0,0,1
13840,'2023/06/13 11:33:09:737',71,0,0,0,0,0,0,0,0,1
13841,'2023/06/13 11:33:09:765',71,343.247467,391.471191,343.247467,391.471191,0,0,0,0,1
13842,'2023/06/13 11:33:09:993',72,277.381714,713.015564,277.381714,713.015564,0,0,0,0,1
13843,'2023/06/13 11:33:10:020',72,0,0,0,0,0,0,0,0,1
13844,'2023/06/13 11:33:10:045',72,316.413513,1009.465393,316.413513,1009.465393,0,0,0,0,1
13845,'2023/06/13 11:33:10:060',72,0,0,0,0,0,0,0,0,1
13846,'2023/06/13 11:33:10:086',72,298.274719,975.557678,298.274719,975.557678,0,0,0,0,1
13847,'2023/06/13 11:33:10:112',72,0,0,0,0,0,0,0,0,1
13848,'2023/06/13 11:33:10:132',72,274.514618,990.51593,274.514618,990.51593,0,0,0,0,1
13877,'2023/06/13 11:33:10:810',72,297.260925,1085.860474,297.260925,1085.860474,0,0,0,0,1
13878,'2023/06/13 11:33:10:830',72,0,0,0,0,0,0,0,0,1
13879,'2023/06/13 11:33:11:528',73,0,0,0,0,0,0,0,0,1
13880,'2023/06/13 11:33:11:549',73,307.048401,949.665771,307.048401,949.665771,0,0,0,0,1
13881,'2023/06/13 11:33:11:574',73,0,0,0,0,0,0,0,0,1
13882,'2023/06/13 11:33:11:594',73,0,0,0,0,0,0,0,0,1
13883,'2023/06/13 11:33:11:620',73,0,0,0,0,0,0,0,0,1
13884,'2023/06/13 11:33:11:643',73,271.942871,635.806641,271.942871,635.806641,0,0,0,0,1
13885,'2023/06/13 11:33:11:671',73,308.915619,635.455933,308.915619,635.455933,0,0,0,0,1
13886,'2023/06/13 11:33:11:695',73,292.928833,484.89209,292.928833,484.89209,0,0,0,0,1
13887,'2023/06/13 11:33:11:716',73,321.112671,406.293549,321.112671,406.293549,0,0,0,0,1
13888,'2023/06/13 11:33:11:737',73,329.476288,641.161926,329.476288,641.161926,0,0,0,0,1
13889,'2023/06/13 11:33:11:766',73,260.075195,597.983276,260.075195,597.983276,0,0,0,0,1
13890,'2023/06/13 11:33:11:779',73,323.142334,678.641968,323.142334,678.641968,0,0,0,0,1
13903,'2023/06/13 11:33:13:083',74,0,0,0,0,0,0,0,0,1
13904,'2023/06/13 11:33:13:525',75,264.695862,1184.490723,264.695862,1184.490723,0,0,0,0,1
13905,'2023/06/13 11:33:13:544',75,0,0,0,0,0,0,0,0,1
13906,'2023/06/13 11:33:13:567',75,0,0,0,0,0,0,0,0,1
13907,'2023/06/13 11:33:13:592',75,0,0,0,0,0,0,0,0,1
13908,'2023/06/13 11:33:13:615',75,0,0,0,0,0,0,0,0,1
13909,'2023/06/13 11:33:13:642',75,310.295929,1046.101807,310.295929,1046.101807,0,0,0,0,1
13910,'2023/06/13 11:33:13:663',75,0,0,0,0,0,0,0,0,1
13911,'2023/06/13 11:33:13:683',75,0,0,0,0,0,0,0,0,1
13912,'2023/06/13 11:33:13:708',75,395.034973,1016.362671,395.034973,1016.362671,0,0,0,0,1
13913,'2023/06/13 11:33:13:734',75,0,0,0,0,0,0,0,0,1
13914,'2023/06/13 11:33:13:759',75,456.544098,907.357971,456.544098,907.357971,0,0,0,0,1
13915,'2023/06/13 11:33:13:779',75,0,0,0,0,0,0,0,0,1
13916,'2023/06/13 11:33:13:803',75,0,0,0,0,0,0,0,0,1
13917,'2023/06/13 11:33:13:823',75,0,0,0,0,0,0,0,0,1
13918,'2023/06/13 11:33:13:849',75,416.389343,1028.994995,416.389343,1028.994995,0,0,0,0,1
13919,'2023/06/13 11:33:13:868',75,0,0,0,0,0,0,0,0,1
13920,'2023/06/13 11:33:13:892',75,0,0,0,0,0,0,0,0,1
13921,'2023/06/13 11:33:13:915',75,0,0,0,0,0,0,0,0,1
13922,'2023/06/13 11:33:13:940',75,374.759033,963.913513,374.759033,963.913513,0,0,0,0,1
13923,'2023/06/13 11:33:13:965',75,0,0,0,0,0,0,0,0,1
13924,'2023/06/13 11:33:13:987',75,420.011505,1020.356079,420.011505,1020.356079,0,0,0,0,1
13925,'2023/06/13 11:33:14:016',75,341.224396,1099.007202,341.224396,1099.007202,0,0,0,0,1
13926,'2023/06/13 11:33:14:037',75,0,0,0,0,0,0,0,0,1
13927,'2023/06/13 11:33:14:055',75,400.343048,996.978882,400.343048,996.978882,0,0,0,0,1
13942,'2023/06/13 11:33:14:405',75,0,0,0,0,0,0,0,0,1
