@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
415,'2023/06/12 00:08:58:972',10,495.077698,4011.90332,8779.663086,0,1,0,0,0
416,'2023/06/12 00:08:59:213',10,487.523804,3949.144287,8754.189453,0,1,0,0,0
417,'2023/06/12 00:08:59:474',10,479.427704,3894.157959,8726.014648,0,1,0,0,0
418,'2023/06/12 00:08:59:725',10,474.337158,3913.872314,8719.681641,0,1,0,0,0
419,'2023/06/12 00:08:59:986',10,469.146667,3931.612305,8708.867188,0,1,0,0,0
420,'2023/06/12 00:09:00:242',10,464.549255,3955.962646,8703.920898,0,1,0,0,0
421,'2023/06/12 00:09:00:498',10,459.061981,3975.464111,8695.759766,0,1,0,0,0
422,'2023/06/12 00:09:00:749',10,454.060028,3994.593506,8686.513672,0,1,0,0,0
423,'2023/06/12 00:09:00:924',10,449.094421,4008.077881,8682.071289,0,1,0,0,0
424,'2023/06/12 00:09:01:180',10,443.181732,4024.315186,8674.003906,0,1,0,0,0
425,'2023/06/12 00:09:01:436',10,437.784973,4035.705811,8663.043945,0,1,0,0,0
426,'2023/06/12 00:09:01:697',10,433.181763,4052.113281,8656.085938,0,1,0,0,0
427,'2023/06/12 00:09:01:943',10,428.158386,4067.799316,8650.794922,0,1,0,0,0
428,'2023/06/12 00:09:02:204',10,423.111023,4080.488281,8644.262695,0,1,0,0,0
429,'2023/06/12 00:09:02:460',10,418.578857,4103.129883,8638.438477,0,1,0,0,0
430,'2023/06/12 00:09:02:716',10,414.008911,4117.310547,8626.433594,0,1,0,0,0
431,'2023/06/12 00:09:02:967',10,409.292206,4133.019531,8615.020508,0,1,0,0,0
432,'2023/06/12 00:09:03:228',10,404.676025,4153.022461,8603.978516,0,1,0,0,0
433,'2023/06/12 00:09:03:484',10,400.367615,4163.955078,8596.436523,0,1,0,0,0
434,'2023/06/12 00:09:03:740',10,396.456726,4182.415039,8586.791992,0,1,0,0,0
435,'2023/06/12 00:09:03:997',10,392.138947,4204.552734,8574.293945,0,1,0,0,0
436,'2023/06/12 00:09:04:257',10,388.652161,4222.48291,8567.40332,0,1,0,0,0
