@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
7261,'2023/06/12 23:32:07:270',10,92.84787,10.816719,18.368641,39.240009,100.74527,1,0,0,0,0
7262,'2023/06/12 23:32:07:294',10,89.326561,10.799033,19.000534,42.127846,97.600685,1,0,0,0,0
7263,'2023/06/12 23:32:07:305',10,87.615181,10.368912,17.901819,38.656448,95.652847,1,0,0,0,0
7264,'2023/06/12 23:32:07:316',10,92.194138,10.763426,16.876431,41.223129,100.361565,1,0,0,0,0
7265,'2023/06/12 23:32:07:340',10,96.215157,10.276756,16.482683,44.053177,104.541985,1,0,0,0,0
7266,'2023/06/12 23:32:07:351',10,88.730515,10.870335,16.343561,41.015842,96.989342,1,0,0,0,0
7267,'2023/06/12 23:32:07:363',10,85.626389,10.967235,16.838629,38.468155,93.133286,1,0,0,0,0
7268,'2023/06/12 23:32:07:387',10,74.779594,10.393224,16.473301,36.350342,80.857483,1,0,0,0,0
7269,'2023/06/12 23:32:07:398',10,60.262363,9.996373,15.099949,31.715538,63.284882,1,0,0,0,0
7270,'2023/06/12 23:32:07:409',10,75.57901,9.542686,14.283074,32.875748,79.514816,1,0,0,0,0
7271,'2023/06/12 23:32:07:433',10,82.78112,9.875751,15.664349,35.779224,88.783585,1,0,0,0,0
7272,'2023/06/12 23:32:07:444',10,90.685898,10.696122,18.96295,35.537788,97.412216,1,0,0,0,0
7273,'2023/06/12 23:32:07:457',10,100.608467,11.043129,21.94421,36.898376,108.190262,1,0,0,0,0
7274,'2023/06/12 23:32:07:479',10,96.503311,11.671629,22.874212,40.090576,105.224838,1,0,0,0,0
7275,'2023/06/12 23:32:07:490',10,94.282784,11.604202,22.444456,40.434307,103.079742,1,0,0,0,0
7276,'2023/06/12 23:32:07:503',10,92.744865,12.082121,21.14192,39.906559,101.362595,1,0,0,0,0
7277,'2023/06/12 23:32:07:525',10,86.517632,11.522718,20.36161,44.328884,94.762772,1,0,0,0,0
7278,'2023/06/12 23:32:07:537',10,72.777565,10.876382,18.962601,35.937912,78.547096,1,0,0,0,0
7279,'2023/06/12 23:32:07:549',10,59.394081,11.54665,19.00639,34.445866,62.478127,1,0,0,0,0
7280,'2023/06/12 23:32:07:572',10,56.644459,15.216827,14.21399,39.060722,55.090664,1,0,0,0,0
7281,'2023/06/12 23:32:07:583',10,50.265499,14.754929,4.521117,36.381611,49.326233,1,0,0,0,0
7282,'2023/06/12 23:32:07:595',10,40.524601,8.806646,1.981663,29.488541,40.761723,1,0,0,0,0
7283,'2023/06/12 23:32:07:619',10,55.41124,5.915916,2.248262,39.561146,55.197777,1,0,0,0,0
7284,'2023/06/12 23:32:07:630',10,65.242767,6.2229,2.947912,48.399864,65.871895,1,0,0,0,0
7285,'2023/06/12 23:32:07:641',10,57.947384,9.477983,4.438439,42.277851,59.062248,1,0,0,0,0
7286,'2023/06/12 23:32:07:665',10,46.911083,13.03322,5.978155,33.499462,47.906094,1,0,0,0,0
7287,'2023/06/12 23:32:07:676',10,33.824974,17.581207,6.836342,31.243654,32.69788,1,0,0,0,0
7288,'2023/06/12 23:32:07:700',10,26.640062,22.46451,10.247239,25.98485,22.254477,1,0,0,0,0
7289,'2023/06/12 23:32:07:711',10,31.92716,22.539591,14.057887,17.716101,24.704178,1,0,0,0,0
7290,'2023/06/12 23:32:07:723',10,23.259665,27.096893,20.367785,9.456902,15.631782,1,0,0,0,0
7291,'2023/06/12 23:32:07:746',10,19.57725,35.460144,27.431969,13.424394,9.844402,1,0,0,0,0
7292,'2023/06/12 23:32:07:757',10,23.343254,43.824257,29.70627,23.787258,10.602366,1,0,0,0,0
7293,'2023/06/12 23:32:07:770',10,21.456978,41.326099,21.692928,28.046846,14.88615,1,0,0,0,0
7294,'2023/06/12 23:32:07:792',10,17.620001,30.069592,12.116763,20.77947,14.618778,1,0,0,0,0
7295,'2023/06/12 23:32:07:804',10,10.697108,23.012629,7.576953,8.112441,8.306911,1,0,0,0,0
7296,'2023/06/12 23:32:07:816',10,4.274625,13.020011,3.804567,2.848521,2.625322,1,0,0,0,0
7297,'2023/06/12 23:32:07:839',10,0.59008,5.557555,1.42891,0.937085,0.642923,1,0,0,0,0
7298,'2023/06/12 23:32:07:850',10,0.148319,2.5797,0.840627,0.35139,0.242207,1,0,0,0,0
7299,'2023/06/12 23:32:07:862',10,0.039318,1.229218,0.504779,0.13163,0.120472,1,0,0,0,0
