@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric

@data
77,'2023/06/13 10:16:20:124',3,0,0,0,0,0,0,0,0,0
78,'2023/06/13 10:16:20:143',3,0,0,0,0,0,0,0,0,0
79,'2023/06/13 10:16:20:168',3,0,0,0,0,0,0,0,0,0
80,'2023/06/13 10:16:20:188',3,0,0,0,0,0,0,0,0,0
81,'2023/06/13 10:16:20:214',3,0,0,0,0,0,0,0,0,0
82,'2023/06/13 10:16:20:240',3,0,0,0,0,0,0,0,0,0
83,'2023/06/13 10:16:20:261',3,0,0,0,0,0,0,0,0,0
84,'2023/06/13 10:16:20:282',3,0,0,0,0,0,0,0,0,0
85,'2023/06/13 10:16:20:306',3,0,0,0,0,0,0,0,0,0
86,'2023/06/13 10:16:20:331',3,0,0,0,0,0,0,0,0,0
87,'2023/06/13 10:16:20:351',3,0,0,0,0,0,0,0,0,0
88,'2023/06/13 10:16:20:378',3,0,0,0,0,0,0,0,0,0
89,'2023/06/13 10:16:20:398',3,0,0,0,0,0,0,0,0,0
90,'2023/06/13 10:16:20:423',3,0,0,0,0,0,0,0,0,0
91,'2023/06/13 10:16:20:447',3,683.876099,1310.091553,683.876099,1310.091553,0,0,0,0,0
92,'2023/06/13 10:16:20:467',3,0,0,0,0,0,0,0,0,0
93,'2023/06/13 10:16:20:493',3,0,0,0,0,0,0,0,0,0
94,'2023/06/13 10:16:20:515',3,0,0,312.309753,999.127625,0,0,0,0,0
95,'2023/06/13 10:16:20:539',3,0,0,0,0,0,0,0,0,0
96,'2023/06/13 10:16:20:563',3,0,0,0,0,0,0,0,0,0
97,'2023/06/13 10:16:20:583',3,0,0,0,0,0,0,0,0,0
98,'2023/06/13 10:16:20:611',3,0,0,0,0,0,0,0,0,0
99,'2023/06/13 10:16:20:632',3,0,0,0,0,0,0,0,0,0
100,'2023/06/13 10:16:20:652',3,0,0,0,0,0,0,0,0,0
101,'2023/06/13 10:16:20:679',3,145.700851,1046.491699,145.700851,1046.491699,0,0,0,0,0
102,'2023/06/13 10:16:20:699',3,0,0,0,0,0,0,0,0,0
103,'2023/06/13 10:16:20:725',3,0,0,0,0,0,0,0,0,0
104,'2023/06/13 10:16:20:751',3,0,0,0,0,0,0,0,0,0
105,'2023/06/13 10:16:20:772',3,0,0,0,0,0,0,0,0,0
106,'2023/06/13 10:16:20:797',3,0,0,0,0,0,0,0,0,0
107,'2023/06/13 10:16:20:817',3,0,0,0,0,0,0,0,0,0
